epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
144,16677.1,0.33381,0.55433,0.20204,0.82836,0.71762,0.79624,0.50494,0.37849,0.55114,0.1224,0.0071686,0.0071686,0.0071686
145,16792.8,0.34891,0.56331,0.21804,0.83384,0.75081,0.8055,0.50506,0.37904,0.59345,0.11883,0.0071488,0.0071488,0.0071488
146,16908.4,0.329,0.54422,0.19622,0.80001,0.7871,0.80923,0.52699,0.36125,0.54114,0.12005,0.007129,0.007129,0.007129
147,17024.1,0.33191,0.58494,0.19576,0.74731,0.80057,0.82452,0.49396,0.43481,0.56347,0.13318,0.0071092,0.0071092,0.0071092
148,17139.7,0.38142,0.57861,0.21696,0.79394,0.82007,0.81844,0.53478,0.33651,0.5346,0.12173,0.0070894,0.0070894,0.0070894
149,17255.2,0.38175,0.55818,0.21323,0.77519,0.77565,0.81464,0.50654,0.37352,0.57527,0.12803,0.0070696,0.0070696,0.0070696
150,17371,0.36254,0.55967,0.19959,0.75999,0.80816,0.82613,0.48168,0.45381,0.55278,0.13068,0.0070498,0.0070498,0.0070498
151,17486.5,0.37747,0.56942,0.21247,0.78675,0.76722,0.78767,0.46971,0.43719,0.58375,0.12728,0.00703,0.00703,0.00703
152,17602,0.33937,0.55318,0.20761,0.77593,0.76414,0.79358,0.52648,0.34467,0.55785,0.1154,0.0070102,0.0070102,0.0070102
153,17717.8,0.33466,0.54903,0.21184,0.82641,0.81093,0.84902,0.5079,0.4091,0.57807,0.12843,0.0069904,0.0069904,0.0069904
154,17833.6,0.35328,0.54546,0.19844,0.80585,0.78268,0.81275,0.5126,0.38474,0.60725,0.12641,0.0069706,0.0069706,0.0069706
155,17949.4,0.34472,0.55356,0.19585,0.78885,0.79436,0.80763,0.51182,0.37202,0.60514,0.12321,0.0069508,0.0069508,0.0069508
156,18065.2,0.34573,0.57504,0.20567,0.79672,0.78148,0.80692,0.52661,0.36368,0.55853,0.12449,0.006931,0.006931,0.006931
157,18180.8,0.35821,0.56328,0.20848,0.78874,0.78358,0.81428,0.47539,0.44292,0.56296,0.13417,0.0069112,0.0069112,0.0069112
158,18296.2,0.36382,0.53363,0.20944,0.85786,0.74921,0.80179,0.53504,0.34602,0.57365,0.11855,0.0068914,0.0068914,0.0068914
159,18411.6,0.30167,0.56024,0.19521,0.79753,0.79462,0.80597,0.51397,0.36854,0.58998,0.12093,0.0068716,0.0068716,0.0068716
160,18527.3,0.34453,0.56212,0.20137,0.84043,0.74441,0.82063,0.49524,0.41416,0.59081,0.12517,0.0068518,0.0068518,0.0068518
161,18643.2,0.34381,0.5323,0.20871,0.85832,0.70057,0.81031,0.50996,0.40458,0.56902,0.12493,0.006832,0.006832,0.006832
162,18759,0.3322,0.53586,0.20444,0.83533,0.73496,0.79319,0.52491,0.35314,0.5578,0.11923,0.0068122,0.0068122,0.0068122
163,18874.7,0.31558,0.5399,0.19352,0.80273,0.76419,0.78534,0.50486,0.36408,0.55779,0.1278,0.0067924,0.0067924,0.0067924
164,18990.2,0.33648,0.52586,0.20874,0.80472,0.81139,0.79885,0.54787,0.32632,0.54841,0.11761,0.0067726,0.0067726,0.0067726
