epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
79,5437.27,0.26717,0.45576,0.18829,0.87027,0.8663,0.90724,0.66172,0.33445,0.46986,0.11951,0.000169112,0.000169112,0.000169112
80,5505.84,0.25168,0.47745,0.19199,0.84527,0.88579,0.91657,0.66618,0.33911,0.50513,0.12768,0.000168716,0.000168716,0.000168716
81,5574.83,0.25027,0.49173,0.18086,0.84655,0.89136,0.9227,0.67955,0.31701,0.48919,0.11191,0.00016832,0.00016832,0.00016832
82,5643.6,0.25689,0.48182,0.18174,0.84231,0.83844,0.91032,0.65046,0.34763,0.51059,0.11355,0.000167924,0.000167924,0.000167924
83,5712.75,0.26291,0.47261,0.204,0.83341,0.85794,0.89258,0.65665,0.35852,0.48419,0.1299,0.000167528,0.000167528,0.000167528
84,5781.29,0.26339,0.4702,0.19169,0.87397,0.84996,0.91597,0.66691,0.33624,0.46133,0.11879,0.000167132,0.000167132,0.000167132
85,5850.43,0.26478,0.46844,0.19277,0.90632,0.83538,0.9198,0.66966,0.3339,0.47166,0.11935,0.000166736,0.000166736,0.000166736
86,5919.15,0.2498,0.49292,0.18027,0.88272,0.85237,0.91337,0.65825,0.34507,0.45636,0.13168,0.00016634,0.00016634,0.00016634
87,5988.2,0.25373,0.44167,0.19155,0.87867,0.86742,0.9129,0.65316,0.34069,0.46809,0.12422,0.000165944,0.000165944,0.000165944
88,6056.76,0.24923,0.47231,0.19038,0.85908,0.89694,0.91536,0.67061,0.34373,0.47429,0.12524,0.000165548,0.000165548,0.000165548
89,6125.71,0.24244,0.461,0.16863,0.88237,0.87465,0.90292,0.6546,0.34812,0.50485,0.1313,0.000165152,0.000165152,0.000165152
90,6194.09,0.23692,0.46699,0.1748,0.86328,0.87943,0.91218,0.65835,0.33679,0.46407,0.12632,0.000164756,0.000164756,0.000164756
