fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.31332,0.00656,0.01515,0.92519,0.00053,4.03229,0.61778,6.21124,0.45737,1.88354,0.01596,0.69444,0.36053,10.305,0.11661,0.52177,9.45638,0.00079,0.49564,0.48002,0.07423,1.0,0.07753,0.09181
0.33501,0.00655,0.02025,0.84105,0.00054,3.90584,0.4828,6.04021,0.45737,2.27058,0.01574,0.6698,0.35217,10.56468,0.11298,0.48066,6.27041,0.00078,0.44147,0.36113,0.07498,1.0,0.07367,0.09406
0.26061,0.00655,0.01736,0.93169,0.00049,3.98663,0.51791,6.04021,0.48234,1.96193,0.01562,0.69927,0.32984,10.35514,0.1274,0.49425,9.46026,0.00074,0.6041,0.55197,0.06687,0.90112,0.06294,0.09727
0.36361,0.00624,0.01586,0.93169,0.00052,4.04694,0.60599,5.7965,0.49461,1.75363,0.01456,0.69927,0.36199,11.1686,0.12131,0.51776,9.48555,0.00079,0.47207,0.49089,0.08127,0.9574,0.06881,0.08939
0.3062,0.00716,0.01356,0.93169,0.00056,3.98663,0.56382,6.04021,0.45737,2.20392,0.01543,0.63392,0.32339,10.35514,0.10233,0.5662,9.33436,0.00094,0.50015,0.55886,0.07107,1.0,0.08473,0.09238
0.32319,0.00676,0.01717,0.93169,0.00055,4.23764,0.54703,6.14496,0.46238,1.87801,0.01589,0.7294,0.29982,11.31682,0.11742,0.51391,8.60915,0.00085,0.56131,0.49749,0.07334,1.0,0.07327,0.09181
0.34766,0.00655,0.01033,0.98,0.00064,3.40209,0.53347,5.32872,0.50439,1.25023,0.01805,0.68754,0.30736,10.35514,0.11687,0.51565,8.76758,0.00082,0.46073,0.52207,0.07515,1.0,0.074,0.09748
0.33407,0.00637,0.01658,0.87373,0.00052,4.39963,0.70914,6.51234,0.48504,1.75363,0.01301,0.75756,0.36199,10.77949,0.097,0.54118,8.78056,0.00075,0.40703,0.63599,0.09772,0.95658,0.0735,0.08939
0.36901,0.00644,0.01586,0.97134,0.00056,4.95345,0.66081,5.08002,0.46527,1.85188,0.01851,0.69927,0.36199,9.8578,0.10203,0.51776,9.32155,0.00084,0.48716,0.4523,0.09703,0.9574,0.05777,0.08787
0.28654,0.00745,0.01551,0.93503,0.0005,4.04694,0.60066,5.08139,0.44398,1.64123,0.01456,0.69177,0.37378,12.04851,0.12927,0.52688,8.52214,0.00081,0.45902,0.48316,0.07352,0.93149,0.08128,0.0973
0.34878,0.00604,0.01523,0.90863,0.00053,3.6979,0.61778,6.24763,0.44233,2.04446,0.01692,0.72022,0.32252,11.35259,0.1197,0.51565,9.97168,0.00074,0.49285,0.49218,0.07334,0.88983,0.082,0.09181
0.33978,0.00614,0.01546,0.95919,0.00054,5.0,0.64654,5.29276,0.43648,1.78213,0.01882,0.69576,0.35793,9.3047,0.10203,0.51776,9.32155,0.00076,0.50793,0.47361,0.09274,0.91502,0.05411,0.08442
0.31567,0.00644,0.01586,0.98,0.00058,4.95345,0.70879,5.08002,0.46527,1.90622,0.02193,0.77047,0.38651,9.48453,0.11011,0.49496,9.32155,0.00077,0.48716,0.50822,0.09703,0.84145,0.05777,0.07192
0.35215,0.00624,0.01586,0.88417,0.00051,3.75598,0.55013,6.20858,0.5369,1.81176,0.01411,0.69927,0.36199,10.47173,0.12214,0.51132,9.45844,0.00084,0.50876,0.47652,0.08134,0.90892,0.06664,0.09711
0.33581,0.00617,0.01717,0.92617,0.00053,3.41522,0.54837,6.5884,0.40272,1.868,0.01575,0.65565,0.3172,9.40819,0.11573,0.57648,10.0,0.00083,0.51115,0.49218,0.0776,1.0,0.09233,0.08823
0.34227,0.00656,0.01529,0.97211,0.00057,4.92,0.65745,5.07198,0.46527,1.84832,0.01799,0.72115,0.36134,9.8578,0.10097,0.51469,9.52293,0.00084,0.51184,0.43784,0.0958,0.9574,0.05552,0.08701
0.37358,0.00596,0.01886,0.98,0.00051,4.00625,0.52736,5.97836,0.57408,1.86952,0.01436,0.52912,0.34227,11.44576,0.12214,0.4701,8.77773,0.00072,0.50722,0.43747,0.07447,0.90892,0.07235,0.09711
0.38232,0.00532,0.01586,0.98,0.00059,5.0,0.67198,4.22657,0.46527,1.85188,0.01851,0.63531,0.38034,10.58675,0.10203,0.5027,9.78177,0.00086,0.41053,0.44504,0.09703,0.98037,0.06246,0.09066
0.35055,0.00603,0.01449,0.90937,0.00062,5.0,0.57891,4.22657,0.44094,1.88137,0.01688,0.56385,0.3885,12.52372,0.11235,0.5027,9.78177,0.00093,0.43128,0.40126,0.08855,0.90491,0.06501,0.09903
0.35249,0.00603,0.01586,0.97854,0.00054,4.95345,0.69078,5.23467,0.45431,2.00992,0.01865,0.71919,0.34608,9.39175,0.10485,0.47296,9.5689,0.00084,0.51289,0.47411,0.09719,0.83979,0.07027,0.07646
0.38414,0.00544,0.01759,0.98,0.00063,5.0,0.78575,4.22657,0.41354,1.82146,0.01869,0.65065,0.38034,9.68667,0.10384,0.51326,9.33511,0.00089,0.51184,0.44504,0.10949,0.69227,0.05261,0.09607
0.3802,0.00609,0.01799,0.93788,0.0005,4.07963,0.50768,5.92909,0.58848,1.65068,0.01608,0.51785,0.35531,10.50778,0.12214,0.42467,9.11198,0.00075,0.51117,0.40344,0.07537,0.87328,0.06964,0.10399
0.39163,0.00583,0.01598,0.98,0.00048,4.17991,0.51403,5.91199,0.62431,1.48986,0.01549,0.52806,0.35531,9.97808,0.12457,0.42467,9.11198,0.00074,0.50886,0.40344,0.06339,0.87328,0.06938,0.09868
0.38336,0.00609,0.01799,0.93788,0.00051,5.0,0.54424,4.35876,0.60203,1.65068,0.01734,0.51785,0.38326,10.50778,0.12214,0.50856,9.11198,0.00059,0.4628,0.33118,0.07102,0.82317,0.07666,0.12494
0.30849,0.00731,0.01432,0.98,0.00048,4.17991,0.48495,6.23005,0.59227,1.12436,0.01549,0.45542,0.28409,9.87418,0.12167,0.45606,10.0,0.00079,0.50653,0.43028,0.06339,0.93591,0.07428,0.09685
0.30319,0.00621,0.02128,0.82194,0.00048,5.0,0.63149,5.91199,0.65479,1.39434,0.01345,0.44457,0.44571,12.40543,0.19669,0.48445,9.11198,0.00085,0.41025,0.39886,0.08109,0.87328,0.06938,0.07071
0.34993,0.00606,0.0181,0.9235,0.00052,5.0,0.54559,4.31959,0.5837,1.68106,0.01742,0.52008,0.38556,10.29604,0.12597,0.50856,9.28624,0.00057,0.4651,0.33753,0.07102,0.81574,0.07696,0.1252
0.36294,0.0059,0.01697,0.87826,0.00049,5.0,0.53965,4.58131,0.59413,1.74745,0.01702,0.50298,0.38433,10.65504,0.11741,0.4895,9.4674,0.00059,0.4827,0.32237,0.0724,0.80838,0.07889,0.11954
0.35782,0.00544,0.01797,0.93887,0.00062,4.73972,0.7897,4.19659,0.41354,1.81234,0.01835,0.64878,0.38607,9.53191,0.10384,0.51326,9.55992,0.00085,0.52744,0.45695,0.10949,0.69246,0.05338,0.091
0.41121,0.00479,0.01634,0.98,0.00052,4.6265,0.51403,6.75892,0.62431,1.51715,0.01452,0.52806,0.41265,10.32789,0.11646,0.47364,9.4965,0.00078,0.39109,0.39088,0.06339,0.84414,0.05708,0.10127
0.36555,0.00479,0.01658,0.89414,0.00052,5.0,0.48968,6.75892,0.6015,1.51715,0.01405,0.52806,0.39333,10.14096,0.10938,0.47025,9.86687,0.00076,0.4063,0.39323,0.06022,0.77367,0.05482,0.10029
0.39141,0.0046,0.02024,0.93081,0.00053,4.33827,0.52253,6.31497,0.72181,1.57621,0.01452,0.57285,0.33218,10.32789,0.11629,0.51568,9.4965,0.00083,0.35152,0.41443,0.062,0.83933,0.05708,0.10127
0.40439,0.00479,0.01708,0.8607,0.00051,4.6265,0.50732,4.92003,0.45241,1.54461,0.01452,0.32179,0.23648,10.00815,0.11646,0.53865,7.63128,0.00068,0.42007,0.43132,0.06339,0.84414,0.06889,0.08115
0.35488,0.00479,0.01554,0.91856,0.00037,3.90989,0.48118,6.75892,0.55019,1.64373,0.01189,0.52806,0.57166,10.32789,0.08701,0.36992,7.72923,0.00055,0.39109,0.39258,0.04672,0.81832,0.05604,0.07982
0.37295,0.00477,0.01628,0.96823,0.00052,4.605,0.51956,6.75892,0.62431,1.51715,0.01443,0.52483,0.41619,10.32789,0.11417,0.47483,9.4965,0.0008,0.38522,0.39951,0.06376,0.86206,0.05694,0.10164
0.40817,0.00456,0.02091,0.94938,0.00052,4.23437,0.51743,6.36154,0.71651,1.58042,0.01389,0.57285,0.33218,10.32789,0.11709,0.5257,9.60374,0.00085,0.3506,0.41347,0.06251,0.83933,0.05721,0.10127
0.38886,0.00433,0.02148,0.94938,0.00053,3.88819,0.50945,5.90192,0.6941,1.52907,0.01452,0.56284,0.33619,9.89617,0.11835,0.5257,9.21085,0.00085,0.31714,0.41347,0.06481,0.83933,0.05651,0.10127
0.37515,0.00436,0.01655,0.98,0.00054,5.0,0.58818,6.78619,0.87329,1.69557,0.0124,0.6038,0.35728,10.32789,0.10855,0.51478,10.0,0.00071,0.3389,0.46326,0.05605,0.79034,0.05721,0.10598
0.43288,0.00442,0.0164,0.8607,0.00055,5.0,0.50732,4.92003,0.44647,1.47159,0.01532,0.33991,0.23648,8.85645,0.11343,0.52775,7.0088,0.00076,0.4267,0.48912,0.0673,0.84414,0.06889,0.08115
0.41666,0.00448,0.01635,0.86264,0.00056,5.0,0.49161,4.96432,0.46128,1.45834,0.0158,0.3486,0.24165,8.4812,0.10979,0.5434,7.09103,0.00076,0.42461,0.50193,0.06668,0.85954,0.07138,0.07921
0.43202,0.00483,0.01588,0.84527,0.00064,4.55148,0.47302,4.80937,0.53042,1.50415,0.01681,0.30581,0.26146,9.4377,0.10979,0.5749,7.09103,0.00065,0.44366,0.4763,0.07256,0.89787,0.06742,0.07921
0.26688,0.00559,0.01535,0.8607,0.00072,3.98506,0.50732,5.0193,0.39278,1.81071,0.01532,0.32062,0.23648,8.23966,0.11343,0.50871,9.21197,0.00064,0.45969,0.48912,0.06307,0.40888,0.07515,0.07766
0.45509,0.00392,0.01863,0.78559,0.00055,4.03479,0.54375,5.44324,0.42974,1.39518,0.01532,0.31176,0.23019,6.92113,0.11597,0.58477,5.8616,0.0007,0.40373,0.68094,0.08324,0.93519,0.06313,0.08446
0.4376,0.00493,0.01712,0.75633,0.00066,4.55148,0.5365,4.51919,0.54614,1.49893,0.0144,0.30392,0.28611,9.914,0.10521,0.53548,6.70045,0.00062,0.41903,0.491,0.06639,0.92884,0.06742,0.07879
0.40477,0.00483,0.01487,0.68917,0.00042,4.55148,0.45172,4.77643,0.53042,1.50415,0.01646,0.34711,0.26146,10.59989,0.09971,0.63287,7.09103,0.00059,0.41343,0.3358,0.07414,0.95604,0.06322,0.08288
0.39503,0.00483,0.01724,0.78495,0.00064,5.0,0.47302,5.64119,0.53042,1.54908,0.0162,0.26419,0.26925,11.53936,0.10654,0.5749,7.72774,0.00065,0.43729,0.51916,0.06837,0.91397,0.07324,0.08146
0.41424,0.00444,0.01644,0.75633,0.00066,3.91555,0.51492,4.05313,0.4329,1.49893,0.0144,0.30392,0.28611,11.77326,0.09729,0.58136,6.30724,0.00062,0.39595,0.41806,0.07038,0.92884,0.05629,0.0751
0.40125,0.0048,0.01862,0.97478,0.00082,4.4798,0.47302,5.11928,0.51059,1.643,0.01638,0.29143,0.23395,9.94023,0.10218,0.56245,7.09103,0.00065,0.49168,0.52014,0.07549,0.83197,0.06636,0.07517
0.44284,0.00415,0.01985,0.75532,0.00055,3.69253,0.5672,5.44324,0.44346,1.39518,0.01621,0.30816,0.21635,6.92113,0.1233,0.57385,5.8616,0.00065,0.40373,0.66484,0.09164,0.9393,0.06355,0.08446
0.34542,0.0042,0.02043,0.74611,0.00056,3.69253,0.55337,5.57648,0.44346,1.38469,0.01567,0.32161,0.21495,6.77917,0.12276,0.57528,6.04193,0.00067,0.38895,0.65644,0.09347,0.9393,0.06269,0.08408
0.35559,0.00481,0.01468,0.77511,0.00056,3.84061,0.67837,6.34864,0.44346,1.44924,0.01881,0.3533,0.21635,6.92113,0.10973,0.58575,5.34896,0.00069,0.49218,0.45819,0.10132,0.82719,0.06134,0.07097
0.45271,0.00368,0.02078,0.7042,0.00058,3.77385,0.54375,5.3146,0.41351,1.23718,0.01562,0.31176,0.22483,6.9719,0.11487,0.58477,5.8616,0.0006,0.38419,0.68094,0.09792,0.9007,0.05716,0.08569
0.41315,0.00368,0.0208,0.7042,0.00058,3.77385,0.54404,5.31522,0.41288,1.23995,0.01557,0.31178,0.2251,6.96936,0.115,0.58259,5.8616,0.0006,0.38295,0.67989,0.0979,0.90134,0.05716,0.08557
0.44101,0.00421,0.01826,0.84093,0.00042,3.69253,0.65444,5.44324,0.38019,1.39518,0.01621,0.30816,0.20213,7.18397,0.11901,0.54678,5.84749,0.00061,0.4217,0.55126,0.10021,0.9085,0.0691,0.08852
0.46135,0.00384,0.02042,0.85791,0.00054,4.39486,0.62808,5.44612,0.44626,1.41625,0.01652,0.31176,0.23019,8.17196,0.12084,0.58998,6.10824,0.00074,0.37032,0.75338,0.0736,0.99922,0.06179,0.08088
0.43613,0.00411,0.01875,0.76807,0.00055,4.03479,0.48594,5.40609,0.42592,1.4703,0.01532,0.31176,0.22879,6.83565,0.11597,0.5765,5.8616,0.00068,0.40774,0.68115,0.08612,0.9823,0.06589,0.08398
