fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.70087,0.00668,0.01243,0.6,0.00067,1.5666,0.85054,6.03797,0.34662,1.34576,0.01693,0.45426,0.32249,0.0,0.13303,0.95,0.0,0.0,0.0,0.47402,0.0,1.0,0.0,0.0
0.71576,0.00533,0.01071,0.78729,0.00072,2.98673,0.78316,8.05956,0.57984,1.46108,0.01967,0.51724,0.30764,0.0,0.13737,0.81089,0.0,0.0,0.0,0.41017,0.0,1.0,0.0,0.0
0.72528,0.00652,0.01079,0.77412,0.00061,2.79114,0.77234,8.24875,0.56787,1.42382,0.01446,0.5675,0.25647,0.0,0.12008,0.62928,0.0,0.0,0.0,0.29128,0.0,1.0,0.0,0.0
0.71455,0.00629,0.00999,0.79119,0.00067,3.22131,0.74356,8.39778,0.5518,1.52113,0.01734,0.53457,0.27794,0.0,0.12138,0.6949,0.0,0.0,0.0,0.42034,0.0,0.95588,0.0,0.0
0.7113,0.00557,0.00987,0.61686,0.00073,3.30015,0.59135,9.73471,0.6359,1.74838,0.01399,0.55699,0.28323,0.0,0.12148,0.72826,0.0,0.0,0.0,0.43434,0.0,1.0,0.0,0.0
0.73057,0.0072,0.0107,0.82271,0.00062,2.52517,0.8131,6.74998,0.45019,1.46955,0.02133,0.51197,0.3084,0.0,0.12302,0.64606,0.0,0.0,0.0,0.45551,0.0,1.0,0.0,0.0
0.71867,0.00629,0.00987,0.78729,0.00063,3.31218,0.76354,8.66555,0.57296,1.24386,0.01738,0.47647,0.2802,0.0,0.1266,0.54912,0.0,0.0,0.0,0.40164,0.0,1.0,0.0,0.0
0.61897,0.00718,0.01229,0.96794,0.00058,2.49147,0.91708,6.82658,0.4368,1.60164,0.01852,0.47123,0.31562,0.0,0.12302,0.65388,0.0,0.0,0.0,0.36596,0.0,1.0,0.0,0.0
0.7156,0.00752,0.00941,0.83585,0.0006,2.72705,0.72719,5.9285,0.46772,1.46955,0.02063,0.48824,0.30258,0.0,0.12114,0.61219,0.0,0.0,0.0,0.45551,0.0,1.0,0.0,0.0
0.71469,0.0072,0.0107,0.81454,0.00057,2.63654,0.70429,6.62707,0.48117,1.46955,0.02222,0.50225,0.29327,0.0,0.11247,0.61802,0.0,0.0,0.0,0.45551,0.0,0.99696,0.0,0.0
0.60202,0.00689,0.01522,0.98,0.00053,2.54386,0.80135,6.74998,0.48545,1.46955,0.02133,0.48262,0.288,0.0,0.12302,0.60245,0.0,0.0,0.0,0.41626,0.0,1.0,0.0,0.0
0.7202,0.00652,0.01095,0.77412,0.00065,2.33685,0.64721,9.02292,0.50887,1.00748,0.01276,0.6005,0.25647,0.0,0.10855,0.51874,0.0,0.0,0.0,0.23761,0.0,1.0,0.0,0.0
0.7121,0.00552,0.01073,0.91794,0.00062,2.52517,0.80077,6.34045,0.46686,1.33351,0.02133,0.51197,0.28535,0.0,0.13835,0.68374,0.0,0.0,0.0,0.38633,0.0,1.0,0.0,0.0
0.71506,0.00722,0.01086,0.82271,0.00063,2.52517,0.8131,6.26131,0.45154,1.46955,0.02178,0.51828,0.30179,0.0,0.12302,0.68584,0.0,0.0,0.0,0.45551,0.0,0.97694,0.0,0.0
0.70133,0.00713,0.01038,0.8737,0.00061,2.42921,0.8131,7.27307,0.40246,1.46955,0.02262,0.51115,0.31587,0.0,0.12042,0.60318,0.0,0.0,0.0,0.45957,0.0,1.0,0.0,0.0
0.71657,0.0067,0.0107,0.84689,0.00058,2.57087,0.83581,6.74998,0.45019,1.28463,0.01997,0.4821,0.3084,0.0,0.12743,0.63821,0.0,0.0,0.0,0.43965,0.0,1.0,0.0,0.0
0.71511,0.00752,0.01216,0.85195,0.00062,2.98058,0.86292,6.65374,0.59286,1.46955,0.02879,0.53529,0.31425,0.0,0.12724,0.64606,0.0,0.0,0.0,0.46252,0.0,1.0,0.0,0.0
0.71719,0.00643,0.0097,0.83493,0.00068,3.03594,0.74356,9.0777,0.52971,1.40758,0.01738,0.39438,0.29798,0.0,0.12651,0.83602,0.0,0.0,0.0,0.37233,0.0,0.94859,0.0,0.0
0.7129,0.00658,0.00931,0.87693,0.00073,3.04302,0.6984,8.70971,0.56787,1.69696,0.0156,0.58688,0.28088,0.0,0.13142,0.73271,0.0,0.0,0.0,0.44428,0.0,1.0,0.0,0.0
0.71207,0.00694,0.00964,0.82271,0.00064,2.52517,0.75672,6.41164,0.44046,1.50714,0.02205,0.55486,0.29579,0.0,0.10823,0.57147,0.0,0.0,0.0,0.41128,0.0,1.0,0.0,0.0
0.58382,0.00787,0.0141,0.98,0.00064,2.46795,0.91507,6.35226,0.41264,1.28069,0.0186,0.44979,0.28618,0.0,0.11587,0.49746,0.0,0.0,0.0,0.41292,0.0,0.85832,0.0,0.0
0.72192,0.00704,0.00937,0.74205,0.0007,3.20299,0.63373,5.40579,0.55342,1.61697,0.01528,0.36462,0.34095,0.0,0.10165,0.73271,0.0,0.0,0.0,0.50222,0.0,1.0,0.0,0.0
0.706,0.00629,0.00977,0.91466,0.0007,3.11613,0.74356,8.24875,0.56787,1.46108,0.01826,0.59634,0.28088,0.0,0.11739,0.76897,0.0,0.0,0.0,0.4423,0.0,0.99077,0.0,0.0
0.71776,0.0072,0.01133,0.84781,0.00064,2.37964,0.79728,6.82671,0.45076,1.49723,0.02106,0.48352,0.3084,0.0,0.12373,0.61651,0.0,0.0,0.0,0.44429,0.0,1.0,0.0,0.0
0.71401,0.00685,0.01074,0.86613,0.00062,2.62241,0.8131,6.7428,0.43063,1.43642,0.02117,0.49449,0.29899,0.0,0.11797,0.66074,0.0,0.0,0.0,0.3678,0.0,0.98485,0.0,0.0
0.70163,0.00722,0.0107,0.8179,0.00062,2.52844,0.8131,6.76508,0.45019,1.47585,0.02136,0.51048,0.3084,0.0,0.12312,0.64594,0.0,0.0,0.0,0.45678,0.0,1.0,0.0,0.0
0.72664,0.00602,0.01091,0.71627,0.00044,2.96962,0.95,7.50972,0.45019,1.27028,0.02672,0.51264,0.35157,0.0,0.12535,0.61797,0.0,0.0,0.0,0.63851,0.0,1.0,0.0,0.0
0.71276,0.00666,0.01017,0.73126,0.00069,3.2626,0.76006,8.23266,0.64169,1.3783,0.01737,0.49185,0.24636,0.0,0.11312,0.69684,0.0,0.0,0.0,0.41017,0.0,1.0,0.0,0.0
0.71525,0.00651,0.00936,0.68539,0.00069,3.22131,0.77391,7.92642,0.66726,1.46108,0.01537,0.48773,0.25541,0.0,0.12853,0.74827,0.0,0.0,0.0,0.41017,0.0,0.74956,0.0,0.0
0.72199,0.00718,0.0116,0.72823,0.00066,3.43943,0.9262,8.24875,0.44448,1.63273,0.01819,0.44949,0.26252,0.0,0.12148,0.72971,0.0,0.0,0.0,0.35913,0.0,1.0,0.0,0.0
0.69394,0.00352,0.0115,0.92304,0.00039,2.77534,0.95,6.283,0.45181,1.27028,0.02274,0.33568,0.35157,0.0,0.14696,0.77696,0.0,0.0,0.0,0.38964,0.0,0.7177,0.0,0.0
0.71133,0.00835,0.01099,0.6,0.00057,3.1416,0.42069,5.99376,0.35146,1.96568,0.02133,0.35308,0.3084,0.0,0.10792,0.64606,0.0,0.0,0.0,0.47387,0.0,0.92677,0.0,0.0
0.71265,0.00702,0.0106,0.8242,0.00064,2.48918,0.86781,6.74998,0.41662,1.51022,0.02124,0.3823,0.31075,0.0,0.12262,0.64606,0.0,0.0,0.0,0.43534,0.0,1.0,0.0,0.0
0.72488,0.0085,0.00908,0.6,0.00062,1.81099,0.85785,6.74998,0.45019,1.89213,0.02296,0.66121,0.30782,0.0,0.1481,0.6496,0.0,0.0,0.0,0.46037,0.0,0.94163,0.0,0.0
0.71361,0.00563,0.01066,0.66868,0.00046,2.86884,0.86508,7.57728,0.42566,1.22373,0.02672,0.51264,0.36173,0.0,0.12172,0.61797,0.0,0.0,0.0,0.61073,0.0,0.97368,0.0,0.0
0.72115,0.00683,0.01182,0.81759,0.00058,3.18784,0.74356,9.48513,0.55665,1.67645,0.01738,0.52791,0.26723,0.0,0.11053,0.68109,0.0,0.0,0.0,0.41017,0.0,0.9518,0.0,0.0
0.71393,0.00664,0.00953,0.79587,0.00063,2.32028,0.84429,7.824,0.45019,1.11027,0.02446,0.34846,0.3084,0.0,0.15123,0.59537,0.0,0.0,0.0,0.42484,0.0,0.9951,0.0,0.0
0.71984,0.008,0.0107,0.82586,0.00062,2.52517,0.91598,6.74998,0.45019,1.47894,0.01855,0.51197,0.33121,0.0,0.1192,0.61168,0.0,0.0,0.0,0.45663,0.0,1.0,0.0,0.0
0.71349,0.00567,0.01121,0.67202,0.00043,2.97977,0.95,6.98442,0.45911,1.27028,0.02554,0.47509,0.35953,0.0,0.12908,0.66606,0.0,0.0,0.0,0.63245,0.0,1.0,0.0,0.0
0.72043,0.0066,0.0115,0.78729,0.0007,2.67044,0.90661,8.24875,0.63687,1.46108,0.01738,0.53457,0.23108,0.0,0.1187,0.75624,0.0,0.0,0.0,0.49136,0.0,1.0,0.0,0.0
0.72815,0.00663,0.00906,0.81893,0.0007,3.25927,0.74203,8.54813,0.53476,1.58929,0.01812,0.53457,0.28088,0.0,0.12772,0.67298,0.0,0.0,0.0,0.43056,0.0,0.90394,0.0,0.0
0.71571,0.00716,0.01121,0.82271,0.0006,2.60195,0.8131,6.7927,0.46971,1.49392,0.02133,0.51197,0.29256,0.0,0.12444,0.64606,0.0,0.0,0.0,0.49033,0.0,1.0,0.0,0.0
0.56173,0.0072,0.00906,0.98,0.00073,2.43002,0.8131,6.60753,0.45563,1.83114,0.02008,0.49217,0.3084,0.0,0.15853,0.49376,0.0,0.0,0.0,0.45397,0.0,0.83948,0.0,0.0
0.70903,0.00717,0.00982,0.84202,0.00066,3.46468,0.74203,8.54813,0.40439,1.39852,0.02027,0.49887,0.30275,0.0,0.10339,0.67169,0.0,0.0,0.0,0.37509,0.0,0.88947,0.0,0.0
0.71721,0.00526,0.01211,0.73846,0.00055,2.824,0.68639,6.74998,0.45019,1.50021,0.0223,0.55126,0.27172,0.0,0.12302,0.77517,0.0,0.0,0.0,0.45551,0.0,0.94313,0.0,0.0
0.70756,0.00706,0.01066,0.81291,0.00064,2.44108,0.8131,6.74998,0.45816,1.43919,0.02178,0.52204,0.31665,0.0,0.12167,0.64606,0.0,0.0,0.0,0.45551,0.0,1.0,0.0,0.0
0.71084,0.0079,0.01139,0.82271,0.00066,2.27034,0.93063,6.65814,0.5067,1.46955,0.02003,0.51475,0.3084,0.0,0.12302,0.64606,0.0,0.0,0.0,0.51845,0.0,0.88187,0.0,0.0
0.71341,0.0072,0.01322,0.81682,0.00079,2.52517,0.95,8.93555,0.5746,1.46955,0.02081,0.52149,0.25078,0.0,0.12511,0.47453,0.0,0.0,0.0,0.37881,0.0,1.0,0.0,0.0
0.69301,0.00716,0.01376,0.919,0.00056,2.45628,0.95,7.31325,0.42543,1.92081,0.02133,0.61685,0.37104,0.0,0.15709,0.72487,0.0,0.0,0.0,0.2893,0.0,1.0,0.0,0.0
0.70658,0.00579,0.00995,0.72173,0.00041,2.96441,0.92825,7.50972,0.43786,1.37028,0.02635,0.45936,0.35157,0.0,0.12351,0.57539,0.0,0.0,0.0,0.67561,0.0,1.0,0.0,0.0
0.71477,0.00787,0.0107,0.79497,0.00062,2.50366,0.77474,6.61354,0.45911,1.46955,0.02074,0.49043,0.3084,0.0,0.12324,0.68137,0.0,0.0,0.0,0.44741,0.0,1.0,0.0,0.0
0.69501,0.00715,0.01012,0.86555,0.00059,2.52517,0.92211,6.36949,0.45019,1.19802,0.02199,0.45643,0.3084,0.0,0.12913,0.64606,0.0,0.0,0.0,0.46568,0.0,0.83562,0.0,0.0
0.71935,0.00711,0.00882,0.78729,0.00067,3.79275,0.73865,9.09743,0.6279,1.46108,0.01738,0.59008,0.28088,0.0,0.13343,0.62729,0.0,0.0,0.0,0.42785,0.0,0.92249,0.0,0.0
0.71476,0.00602,0.00896,0.64898,0.00044,2.96962,0.77956,8.2555,0.46217,1.16523,0.02494,0.48271,0.3334,0.0,0.11508,0.60366,0.0,0.0,0.0,0.66418,0.0,1.0,0.0,0.0
0.72335,0.00685,0.0112,0.76044,0.0006,2.27002,0.8525,7.29057,0.41222,1.52266,0.02004,0.54285,0.29302,0.0,0.1348,0.64606,0.0,0.0,0.0,0.42983,0.0,1.0,0.0,0.0
0.72573,0.00643,0.0116,0.6,0.00048,3.19842,0.95,6.22579,0.40018,1.20732,0.02451,0.45137,0.35157,0.0,0.10851,0.62981,0.0,0.0,0.0,0.66197,0.0,0.94214,0.0,0.0
0.72428,0.00701,0.01142,0.71627,0.00045,2.96962,0.95,8.60574,0.50071,1.35513,0.02672,0.54617,0.35916,0.0,0.12535,0.61321,0.0,0.0,0.0,0.7504,0.0,1.0,0.0,0.0
0.72336,0.0072,0.01023,0.82869,0.0006,2.59987,0.8131,6.78619,0.50441,1.62977,0.01857,0.55359,0.3084,0.0,0.10745,0.63445,0.0,0.0,0.0,0.52213,0.0,1.0,0.0,0.0
0.72131,0.00691,0.00871,0.81893,0.00067,2.75147,0.78,8.33735,0.63672,1.97618,0.01145,0.47832,0.25952,0.0,0.08182,0.67298,0.0,0.0,0.0,0.44136,0.0,0.98962,0.0,0.0
0.72534,0.00678,0.01019,0.82271,0.00062,2.69776,0.84327,6.30196,0.42895,1.59401,0.02208,0.50549,0.3084,0.0,0.13862,0.57681,0.0,0.0,0.0,0.46811,0.0,1.0,0.0,0.0
0.71016,0.00949,0.01431,0.78546,0.00066,2.14219,0.72691,6.74998,0.45019,1.32914,0.02133,0.44999,0.32609,0.0,0.13981,0.64606,0.0,0.0,0.0,0.33671,0.0,1.0,0.0,0.0
0.71244,0.0071,0.00915,0.81893,0.0007,2.4828,0.83226,8.54813,0.53583,1.56155,0.01403,0.46044,0.28892,0.0,0.1174,0.54572,0.0,0.0,0.0,0.5552,0.0,1.0,0.0,0.0
0.7242,0.00731,0.01075,0.8411,0.00062,2.52517,0.82094,6.74477,0.45419,1.46955,0.02177,0.52003,0.3084,0.0,0.12302,0.64432,0.0,0.0,0.0,0.45551,0.0,0.98921,0.0,0.0
0.71044,0.00556,0.00775,0.77589,0.0006,3.28622,0.74203,8.54813,0.53476,1.37195,0.01801,0.53457,0.26244,0.0,0.12316,0.71375,0.0,0.0,0.0,0.40046,0.0,0.90394,0.0,0.0
0.71785,0.00718,0.00988,0.83196,0.00063,2.54046,0.78892,6.82938,0.45019,1.39901,0.0212,0.49514,0.3084,0.0,0.12055,0.65398,0.0,0.0,0.0,0.45551,0.0,0.9945,0.0,0.0
0.71432,0.00673,0.00927,0.82271,0.00075,2.55014,0.8131,6.74998,0.33467,1.87504,0.02133,0.54902,0.34416,0.0,0.11284,0.88941,0.0,0.0,0.0,0.45551,0.0,1.0,0.0,0.0
0.58121,0.00577,0.00906,0.98,0.0006,3.44606,0.74203,9.9211,0.53476,1.70739,0.01812,0.54659,0.30143,0.0,0.1219,0.79538,0.0,0.0,0.0,0.41155,0.0,0.98159,0.0,0.0
0.71864,0.0072,0.01078,0.81575,0.00062,2.52517,0.80584,6.80798,0.44699,1.48931,0.02133,0.51685,0.30962,0.0,0.12208,0.65408,0.0,0.0,0.0,0.4538,0.0,1.0,0.0,0.0
0.71265,0.00554,0.01177,0.6,0.0006,2.95006,0.95,5.77481,0.50059,1.34376,0.02133,0.51197,0.23828,0.0,0.12058,0.6384,0.0,0.0,0.0,0.43344,0.0,1.0,0.0,0.0
0.7021,0.00884,0.01238,0.82883,0.00045,2.23838,0.76089,5.98947,0.58527,1.62901,0.02649,0.33133,0.36228,0.0,0.14784,0.73312,0.0,0.0,0.0,0.42131,0.0,1.0,0.0,0.0
0.6977,0.00716,0.01136,0.89705,0.00062,2.29399,0.8131,6.74998,0.49303,1.46955,0.0208,0.49038,0.33151,0.0,0.13342,0.62557,0.0,0.0,0.0,0.44071,0.0,0.90137,0.0,0.0
0.72322,0.00743,0.01025,0.72264,0.00066,2.14971,0.78998,6.15816,0.45246,1.2581,0.02133,0.43592,0.29297,0.0,0.1395,0.64606,0.0,0.0,0.0,0.45551,0.0,1.0,0.0,0.0
0.71529,0.00739,0.0108,0.81917,0.00062,2.42895,0.82501,6.8423,0.44096,1.42051,0.02131,0.51197,0.30172,0.0,0.12302,0.62844,0.0,0.0,0.0,0.44968,0.0,0.97038,0.0,0.0
0.72004,0.0072,0.01098,0.77669,0.00048,2.23873,0.65986,6.20123,0.54673,1.17395,0.01941,0.59173,0.29006,0.0,0.1024,0.63969,0.0,0.0,0.0,0.4459,0.0,1.0,0.0,0.0
0.68073,0.00504,0.00998,0.95405,0.00065,2.25172,0.84345,6.56709,0.58393,1.51364,0.02133,0.51197,0.42149,0.0,0.13193,0.80628,0.0,0.0,0.0,0.42926,0.0,1.0,0.0,0.0
0.73265,0.00584,0.00905,0.82271,0.00053,2.52517,0.8142,6.63554,0.47603,0.91149,0.02133,0.48056,0.3674,0.0,0.10063,0.64606,0.0,0.0,0.0,0.35204,0.0,0.95408,0.0,0.0
0.70878,0.00621,0.00905,0.82271,0.00053,2.37126,0.86074,6.78919,0.33244,0.91149,0.01933,0.52092,0.32606,0.0,0.08346,0.59866,0.0,0.0,0.0,0.36602,0.0,1.0,0.0,0.0
0.7166,0.00569,0.00905,0.81151,0.00053,2.48167,0.78171,6.63554,0.49985,0.82963,0.02137,0.5259,0.369,0.0,0.09454,0.61957,0.0,0.0,0.0,0.36767,0.0,0.97722,0.0,0.0
0.70304,0.00602,0.01091,0.63731,0.00044,2.8947,0.95,6.77699,0.50398,1.23142,0.02505,0.44933,0.36261,0.0,0.12615,0.57106,0.0,0.0,0.0,0.63851,0.0,0.94315,0.0,0.0
0.71262,0.00584,0.0083,0.82271,0.00049,2.32437,0.81313,8.19917,0.53598,0.64646,0.01831,0.3905,0.36946,0.0,0.10063,0.71729,0.0,0.0,0.0,0.40733,0.0,1.0,0.0,0.0
0.7142,0.00663,0.00906,0.81158,0.0007,3.24454,0.73528,8.54813,0.53609,1.60214,0.01791,0.53457,0.27925,0.0,0.12774,0.67258,0.0,0.0,0.0,0.42854,0.0,0.89456,0.0,0.0
0.71589,0.00597,0.01118,0.71627,0.00039,2.7273,0.88052,7.8442,0.49199,1.17997,0.02673,0.51866,0.34005,0.0,0.12535,0.6134,0.0,0.0,0.0,0.60045,0.0,1.0,0.0,0.0
0.72749,0.00576,0.01001,0.85459,0.00068,2.4037,0.8373,7.03406,0.37618,1.48589,0.02329,0.59873,0.28039,0.0,0.12166,0.66905,0.0,0.0,0.0,0.41189,0.0,0.98368,0.0,0.0
0.72478,0.00658,0.00905,0.77505,0.00056,2.52517,0.79129,6.21316,0.51442,0.88964,0.02035,0.46449,0.3674,0.0,0.10063,0.70126,0.0,0.0,0.0,0.36809,0.0,0.95408,0.0,0.0
